dish_id,total_mass,total_calories,total_fat,total_carb,total_protein,calories_per_100g,fat_per_100g,carb_per_100g,protein_per_100g
dish_1561662216,300.794281,193.0,12.387489,28.21829,18.63397,64.16345395875395,4.118259482466689,9.381258814558379,6.194921638154417
dish_1562688426,137.569992,88.0,8.256,5.19,10.297,63.9674384803337,6.001308773791307,3.772625064919681,7.484917204909046
dish_1561662054,419.438782,292.0,23.838249,26.351543,25.910593,69.6168338577714,5.683367877031457,6.282571886736024,6.177443315196351
dish_1562008979,382.936646,290.0,22.224644,10.17357,35.345387,75.73054264438301,5.803739138614589,2.656724057691778,9.230087370640417
dish_1560455030,20.59,103.0,0.148,4.625,0.956,500.2428363283147,0.718795531811559,22.46236036911122,4.643030597377368
dish_1558372433,74.360001,143.0,0.286,0.429,20.02,192.30768972152111,0.3846153794430422,0.5769230691645634,26.923076561012955
dish_1563379132,232.050003,119.0,14.28,14.28,10.591001,51.28205061906421,6.153846074287705,6.153846074287705,4.564102936038316
dish_1565640549,45.482903,139.0,1.568471,7.043886,2.641478,305.6093407230405,3.448484807577036,15.486887457469457,5.807628418089321
dish_1563207364,309.269989,271.0,13.774,30.657,15.01,87.62570234385076,4.453713742008119,9.912697995407502,4.853364546794095
dish_1561575474,120.058434,183.0,4.966118,17.412746,2.990431,152.42577626824618,4.136417438195137,14.503559158534417,2.4908129319761074
dish_1550795690,68.119995,131.0,0.262,18.34,0.393,192.30770642305538,0.3846154128461108,26.923078899227754,0.5769231192691662
dish_1563216717,246.007996,332.0,5.636517,16.284782,33.06871,134.95496300860074,2.2911926000974376,6.61961491690701,13.442128116843813
dish_1565972591,195.199997,122.0,12.2,3.66,17.08,62.500000960553294,6.250000096055329,1.8750000288165989,8.75000013447746
dish_1568649312,44.459999,78.0,0.234,10.92,0.546,175.43860043721546,0.5263158013116465,24.561404061210165,1.2280702030605084
dish_1550876012,253.520004,207.0,4.455999,12.46,38.608002,81.65036160223475,1.7576518340540892,4.914799543786692,15.228779343187451
dish_1551565034,7.79,19.0,0.038,1.9,0.171,243.90243902439025,0.4878048780487805,24.390243902439025,2.1951219512195124
dish_1550860747,39.5,79.0,0.079,10.27,0.395,200.0,0.19999999999999998,25.999999999999996,1.0
dish_1566245398,506.355377,230.0,31.183908,4.258222,49.023197,45.42264394676311,6.158502391098337,0.8409552250098847,9.68157922810011
dish_1563381680,32.459999,6.0,2.52,0.084,2.22,18.484288924346544,7.763401348225549,0.2587800449408516,6.839186902008222
